"Category","Net Income/Loss"
"Q1 1997",-3
"Q2 1997",-7
"Q3 1997",-10
"Q4 1997",-11
"Q1 1998",-10
"Q2 1998",-23
"Q3 1998",-45
"Q4 1998",-46
"Q1 1999",-62
"Q2 1999",-138
"Q3 1999",-197
"Q4 1999",-323
"Q1 2000",-308
"Q2 2000",-317
"Q3 2000",-241
"Q4 2000",-545
"Q1 2001",-234
"Q2 2001",-168
"Q3 2001",-170
"Q4 2001",5
"Q1 2002",-23
"Q2 2002",-94
"Q3 2002",-35
"Q4 2002",3
"Q1 2003",-10
"Q2 2003",-43
"Q3 2003",16
"Q4 2003",73
"Q1 2004",111
"Q2 2004",76
"Q3 2004",54
"Q4 2004",347
"Q1 2005",78
"Q2 2005",52
"Q3 2005",30
"Q4 2005",199
"Q1 2006",51
"Q2 2006",22
"Q3 2006",19
"Q4 2006",98
"Q1 2007",111
"Q2 2007",78
"Q3 2007",80
"Q4 2007",207
"Q1 2008 ",143
"Q2 2008",158
"Q3 2008",118
"Q4 2008",225
"Q1 2009",177
"Q2 2009",142
"Q3 2009",199
"Q4 2009",384
"Q1 2010",299
"Q2 2010",207
"Q3 2010",231
"Q4 2010",416
"Q1 2011",201
"Q2 2011",191
"Q3 2011",63
"Q4 2011",177
"Q1 2012",130
"Q2 2012",7
"Q3 2012",-274
"Q4 2012",97
"Q1 2013",82
"Q2 2013",-7
"Q3 2013",-41
"Q4 2013",239
"Q1 2014",108
"Q2 2014",-126
"Q3 2014",-437
"Q4 2014",214
"Q1 2015",-57
"Q2 2015",92
"Q3 2015",79
"Q4 2015",482
"Q1 2016",513
"Q2 2016",857
"Q3 2016 ",252
"Q4 2016",749
"Q1 2017 ",724
"Q2 2017",197
"Q3 2017",256
"Q4 2017",1856
"Q1 2018",1629
"Q2 2018",2534
"Q3 2018",2883
"Q4 2018",3027
"Q1 2019",3561
"Q2 2019",2625
"Q3 2019",2134
"Q4 2019",3268
"Q1 2020",2535
"Q2 2020",5243
"Q3 2020",6331
"Q4 2020",7222
"Q1 2021",8107
"Q2 2021",7778
"Q3 2021",3156
"Q4 2021",14323
"Q1 2022",-3844
"Q2 2022",-2028
"Q3 2022",2872
"Q4 2022",278
"Q1 2023",3172
"Q2 2023",6750
"Q3 2023",9879
"Q4 2023",10624
"Q1 2024",10431
"Q2 2024",13485
"Q3 2024",15328
"Q4 2024",20004
"Q1 2025",17127
"Q2 2025",18164
"Q3 2025",21187



